Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
Solar Probe,High,Standard,RandomMulti,0.0001,0,35,0,1275000,32,32,32,0,1,100,5.55865
Solar Probe,High,Advanced,RandomMulti,0.0001,0,35,0,1275000,230,230,147,83,0.63913,100,5.25256
Solar Probe,Very High,None,RandomMulti,0.0001,0,35,0,1275000,225,225,131,94,0.582222,200,5.4771
Solar Probe,Very High,Basic,RandomMulti,0.0001,0,35,0,1275000,224,224,148,76,0.660714,200,5.43365
Solar Probe,Very High,Standard,RandomMulti,0.0001,0,35,0,1275000,289,289,249,40,0.861592,200,5.36271
Solar Probe,Very High,Advanced,RandomMulti,0.0001,0,35,0,1275000,87,87,79,8,0.908046,200,5.38999
Solar Probe,Adaptive,None,RandomMulti,0.0001,0,35,0,1275000,102,102,29,73,0.284314,75,5.24354
Solar Probe,Adaptive,Basic,RandomMulti,0.0001,0,35,0,1275000,271,271,251,20,0.926199,75,5.53489
Solar Probe,Adaptive,Standard,RandomMulti,0.0001,0,35,0,1275000,24,24,24,0,1,75,5.39417
Solar Probe,Adaptive,Advanced,RandomMulti,0.0001,0,35,0,1275000,100,100,93,7,0.93,75,5.24967
